,id,formula,mol_weight,O,P,Ni,X,Na,Co,I,B,H,C,Br,Mn,F,Hg,As,Fe,N,Se,R,W,S,Cl,Mo,Mg,polymer
1143,C01616,C5H11NO5S,197.218,5,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1144,C01617,C15H12O7,304.246,7,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,C01618,C19H28O4,320.414,4,0,0,0,0,0,0,0,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,C01620,C4H8O5,136.10399999999998,5,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,C01623,C14H22N2O16P2,536.2760000000001,16,2,0,0,0,0,0,0,22,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1148,C01624,C10H10O3,178.18,3,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,C01625,C11H20O10,312.27,10,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,C01626,C25H32N2O6,456.52599999999995,6,0,0,0,0,0,0,0,32,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1151,C01628,C11H7O2R,85.583,2,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1152,C01656,C3H3O3R,43.527,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1153,C01659,C3H5NO,71.08,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1154,C01661,C27H29NO11,543.512,11,0,0,0,0,0,0,0,29,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1155,C01664,NH2R,8.013,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1156,C01672,C5H14N2,102.18199999999999,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1157,C01673,C27H44O3,416.62199999999996,3,0,0,0,0,0,0,0,44,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,C01674,C16H28N2O11,424.404,11,0,0,0,0,0,0,0,28,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1159,C01677,C11H16N4O5,284.27799999999996,5,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1160,C01678,C2H7NS,77.156,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1161,C01680,C6H12O6,180.156,6,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,C01682,C11H20N4O6,304.30999999999995,6,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1163,C01685,C5H10O6,166.13,6,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1164,C01693,C9H7NO4,193.156,4,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1165,C01694,C28H44O,396.63199999999995,1,0,0,0,0,0,0,0,44,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,C01697,C6H14O6,182.172,6,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1167,C01698,C6H12O6(C12H20O10)n,162.14,10,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1168,C01699,C19H22O6,346.366,6,0,0,0,0,0,0,0,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169,C01701,C20H18O5,338.344,5,0,0,0,0,0,0,0,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,C01702,C10H10N2O3R2,206.20000000000002,3,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
1171,C01705,C3H8NO5P,169.07399999999998,5,1,0,0,0,0,0,0,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1172,C01709,C16H14O6,302.272,6,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,C01710,C9H10O,134.17000000000002,1,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,C01711,C12H22O11,342.296,11,0,0,0,0,0,0,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,C01714,C21H20O10,432.37,10,0,0,0,0,0,0,0,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,C01717,C10H7NO3,189.166,3,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1177,C01719,C6H12O6,180.156,6,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,C01720,C6H12O6,180.156,6,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,C01721,C6H12O5,164.156,5,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,C01722,C6H14O6,182.172,6,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181,C01724,C30H50O,426.7,1,0,0,0,0,0,0,0,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,C01725,C12H22O11,342.296,11,0,0,0,0,0,0,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,C01726,C6H15N4O6P,270.19,6,1,0,0,0,0,0,0,15,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1184,C01727,C12H10N4O2,242.24,2,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1185,C01728,C12H22O11,342.296,11,0,0,0,0,0,0,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1186,C01732,C5H6O4,130.098,4,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,C01735,C17H17NO3,283.316,3,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1188,C01737,C23H46N6O13,614.658,13,0,0,0,0,0,0,0,46,23,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1189,C01739,C19H17N3O7,399.35600000000005,7,0,0,0,0,0,0,0,17,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1190,C01742,C12H22O11,342.296,11,0,0,0,0,0,0,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,C01743,C12H25N3O7,323.35,7,0,0,0,0,0,0,0,25,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1192,C01744,C9H10O3,166.17000000000002,3,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1193,C01745,C14H12O2,212.236,2,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1194,C01746,C5H11N,85.148,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1195,C01747,C24H47NO7,461.626,7,0,0,0,0,0,0,0,47,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1196,C01748,C13H10N2O,210.23000000000002,1,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1197,C01750,C21H20O11,448.37,11,0,0,0,0,0,0,0,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198,C01751,C6H6O2,110.108,2,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,C01752,C10H8O4,192.164,4,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,C01753,C29H50O,414.69,1,0,0,0,0,0,0,0,50,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,C01755,CHNS,59.098,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1202,C01756,C5H4N4S,152.192,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
1203,C01757,C6H8O4,144.124,4,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,C01759,C17H34N4O10,454.48199999999997,10,0,0,0,0,0,0,0,34,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1205,C01760,C13H20O3,224.29,3,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,C01761,C21H22N2O3,350.406,3,0,0,0,0,0,0,0,22,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1207,C01762,C10H12N4O6,284.236,6,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1208,C01764,C9H13N2O9P(C5H8O6PR)n(C5H8O6PR)n,223.10399999999998,6,1,0,0,0,0,0,0,8,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1
